,neg,neu,pos,compound,word_count
0,0.0,1.0,0.0,0.0,28
1,0.0,0.854,0.146,0.5859,30
2,0.0,1.0,0.0,0.0,20
3,0.032,0.968,0.0,-0.1531,50
4,0.0,0.859,0.141,0.5574,24
5,0.128,0.872,0.0,-0.3612,18
6,0.062,0.752,0.186,0.4845,23
7,0.0,1.0,0.0,0.0,20
8,0.0,0.972,0.028,0.0516,44
9,0.0,1.0,0.0,0.0,38
10,0.0,1.0,0.0,0.0,27
11,0.137,0.863,0.0,-0.7057,39
12,0.193,0.807,0.0,-0.6486,20
13,0.0,0.98,0.02,0.0516,63
14,0.0,1.0,0.0,0.0,24
15,0.0,0.957,0.043,0.0516,29
16,0.0,0.963,0.037,0.296,59
17,0.129,0.871,0.0,-0.5256,25
18,0.0,1.0,0.0,0.0,17
19,0.234,0.766,0.0,-0.7096,17
20,0.0,1.0,0.0,0.0,14
21,0.0,1.0,0.0,0.0,68
22,0.161,0.839,0.0,-0.3612,15
23,0.0,0.634,0.366,0.6353,11
24,0.14,0.749,0.111,-0.6266,62
25,0.043,0.91,0.048,-0.0516,171
26,0.494,0.506,0.0,-0.5994,5
27,0.0,1.0,0.0,0.0,13
28,0.113,0.887,0.0,-0.7684,57
29,0.068,0.902,0.03,-0.3612,39
30,0.0,1.0,0.0,0.0,36
31,0.059,0.882,0.059,0.25,56
32,0.0,1.0,0.0,0.0,19
33,0.0,1.0,0.0,0.0,7
34,0.076,0.703,0.22,0.5719,27
35,0.0,1.0,0.0,0.0,4
36,0.0,0.533,0.467,0.5423,5
37,0.0,0.686,0.314,0.4939,8
38,0.167,0.833,0.0,-0.1027,8
39,0.075,0.802,0.123,0.7675,108
40,0.0,0.85,0.15,0.4118,33
41,0.087,0.581,0.332,0.7758,21
42,0.0,1.0,0.0,0.0,15
43,0.118,0.588,0.294,0.4767,9
44,0.0,1.0,0.0,0.0,5
45,0.0,1.0,0.0,0.0,5
46,0.0,1.0,0.0,0.0,11
47,0.0,0.714,0.286,0.4215,8
48,0.0,1.0,0.0,0.0,8
49,0.0,1.0,0.0,0.0,8
50,0.0,0.878,0.122,0.4168,21
51,0.0,0.786,0.214,0.4588,12
52,0.0,1.0,0.0,0.0,2
53,0.0,0.786,0.214,0.4588,13
54,0.0,0.482,0.518,0.5106,7
55,0.0,0.743,0.257,0.5859,12
56,0.0,0.448,0.552,0.5719,4
57,0.0,1.0,0.0,0.0,7
58,0.0,1.0,0.0,0.0,14
59,0.0,1.0,0.0,0.0,6
60,0.282,0.718,0.0,-0.6705,17
61,0.127,0.873,0.0,-0.3241,18
62,0.0,1.0,0.0,0.0,6
63,0.0,0.737,0.263,0.3612,8
64,0.0,0.588,0.412,0.7906,13
65,0.0,1.0,0.0,0.0,7
66,0.0,1.0,0.0,0.0,10
67,0.0,1.0,0.0,0.0,8
68,0.0,1.0,0.0,0.0,16
69,0.082,0.765,0.153,0.34,19
70,0.256,0.744,0.0,-0.6697,19
71,0.231,0.769,0.0,-0.0516,5
72,0.0,1.0,0.0,0.0,15
73,0.0,1.0,0.0,0.0,10
74,0.0,0.765,0.235,0.8481,34
75,0.0,1.0,0.0,0.0,7
76,0.0,1.0,0.0,0.0,7
77,0.0,1.0,0.0,0.0,8
78,0.0,0.878,0.122,0.2023,14
79,0.0,1.0,0.0,0.0,10
80,0.0,0.606,0.394,0.5994,7
81,0.0,0.0,1.0,0.4003,1
82,0.0,0.0,1.0,0.4003,1
83,0.0,0.838,0.162,0.5093,18
84,0.118,0.882,0.0,-0.0516,10
85,0.0,0.839,0.161,0.3612,14
86,0.0,0.861,0.139,0.4404,22
87,0.0,0.658,0.342,0.6369,13
88,0.0,0.823,0.177,0.4199,15
89,0.0,1.0,0.0,0.0,4
90,0.0,0.508,0.492,0.4404,4
91,0.0,0.718,0.282,0.6249,15
92,0.0,1.0,0.0,0.0,6
93,0.0,1.0,0.0,0.0,11
94,0.0,1.0,0.0,0.0,14
95,0.0,1.0,0.0,0.0,4
96,0.0,1.0,0.0,0.0,15
97,0.0,1.0,0.0,0.0,14
98,0.0,1.0,0.0,0.0,28
99,0.0,1.0,0.0,0.0,32
100,0.0,1.0,0.0,0.0,33
101,0.0,0.869,0.131,0.6705,50
102,0.0,1.0,0.0,0.0,41
103,0.0,1.0,0.0,0.0,14
104,0.0,1.0,0.0,0.0,27
105,0.0,0.886,0.114,0.4019,23
106,0.0,1.0,0.0,0.0,6
107,0.0,0.821,0.179,0.34,13
108,0.0,1.0,0.0,0.0,33
109,0.0,1.0,0.0,0.0,23
110,0.0,0.847,0.153,0.5859,24
111,0.0,1.0,0.0,0.0,12
112,0.0,1.0,0.0,0.0,9
113,0.0,1.0,0.0,0.0,12
114,0.0,1.0,0.0,0.0,3
115,0.058,0.833,0.108,0.296,22
116,0.0,1.0,0.0,0.0,3
117,0.0,1.0,0.0,0.0,5
118,0.0,1.0,0.0,0.0,13
119,0.0,1.0,0.0,0.0,8
120,0.0,0.708,0.292,0.7351,20
121,0.0,0.753,0.247,0.644,15
122,0.0,1.0,0.0,0.0,7
123,0.0,1.0,0.0,0.0,2
124,0.0,1.0,0.0,0.0,6
125,0.0,1.0,0.0,0.0,5
126,0.0,1.0,0.0,0.0,3
127,0.0,1.0,0.0,0.0,4
128,0.0,1.0,0.0,0.0,4
129,0.0,1.0,0.0,0.0,5
130,0.0,1.0,0.0,0.0,9
131,0.0,0.562,0.438,0.5994,6
132,0.0,1.0,0.0,0.0,14
133,0.0,1.0,0.0,0.0,8
134,0.0,0.672,0.328,0.5994,9
135,0.148,0.463,0.389,0.5574,8
136,0.0,1.0,0.0,0.0,6
137,0.127,0.873,0.0,-0.1531,13
138,0.065,0.935,0.0,-0.1531,26
139,0.0,1.0,0.0,0.0,9
140,0.0,1.0,0.0,0.0,6
141,0.0,1.0,0.0,0.0,7
142,0.0,1.0,0.0,0.0,4
143,0.0,1.0,0.0,0.0,3
144,0.2,0.8,0.0,-0.6705,26
145,0.0,1.0,0.0,0.0,9
146,0.047,0.769,0.183,0.6808,31
147,0.112,0.888,0.0,-0.5267,32
148,0.0,1.0,0.0,0.0,12
149,0.0,0.351,0.649,0.9022,10
150,0.0,1.0,0.0,0.0,10
