,neg,neu,pos,compound
0,0.0,1.0,0.0,0.0
1,0.059,0.941,0.0,-0.128
2,0.0,0.947,0.053,0.2023
3,0.093,0.907,0.0,-0.5267
4,0.0,1.0,0.0,0.0
5,0.0,1.0,0.0,0.0
6,0.29,0.71,0.0,-0.6486
7,0.0,1.0,0.0,0.0
8,0.0,1.0,0.0,0.0
9,0.0,0.83,0.17,0.5077
10,0.0,1.0,0.0,0.0
11,0.0,0.8,0.2,0.128
12,0.215,0.785,0.0,-0.4767
13,0.0,1.0,0.0,0.0
14,0.0,1.0,0.0,0.0
15,0.0,1.0,0.0,0.0
16,0.0,1.0,0.0,0.0
17,0.0,1.0,0.0,0.0
18,0.0,0.896,0.104,0.1027
19,0.0,0.919,0.081,0.4404
20,0.177,0.749,0.075,-0.5267
21,0.057,0.943,0.0,-0.1027
22,0.0,1.0,0.0,0.0
23,0.0,1.0,0.0,0.0
24,0.0,1.0,0.0,0.0
25,0.0,1.0,0.0,0.0
26,0.0,0.649,0.351,0.4019
27,0.0,1.0,0.0,0.0
28,0.0,1.0,0.0,0.0
29,0.412,0.588,0.0,-0.2732
30,0.0,1.0,0.0,0.0
31,0.0,1.0,0.0,0.0
32,0.0,1.0,0.0,0.0
33,0.211,0.789,0.0,-0.34
34,0.0,1.0,0.0,0.0
35,0.18,0.82,0.0,-0.6908
36,0.0,1.0,0.0,0.0
37,0.0,1.0,0.0,0.0
38,0.0,1.0,0.0,0.0
39,0.0,1.0,0.0,0.0
40,0.0,1.0,0.0,0.0
41,0.0,0.915,0.085,0.1027
42,0.0,0.911,0.089,0.2789
43,0.0,1.0,0.0,0.0
44,0.091,0.909,0.0,-0.5574
45,0.0,1.0,0.0,0.0
46,0.0,1.0,0.0,0.0
47,0.0,1.0,0.0,0.0
48,0.0,1.0,0.0,0.0
49,0.355,0.645,0.0,-0.296
50,0.0,1.0,0.0,0.0
51,0.0,1.0,0.0,0.0
52,0.0,1.0,0.0,0.0
53,0.107,0.837,0.056,-0.34
54,0.106,0.894,0.0,-0.4939
55,0.0,1.0,0.0,0.0
56,0.0,0.606,0.394,0.5994
57,0.0,1.0,0.0,0.0
58,0.0,0.667,0.333,0.3612
59,0.0,1.0,0.0,0.0
60,0.479,0.521,0.0,-0.6808
61,0.0,1.0,0.0,0.0
62,0.0,0.916,0.084,0.4144
63,0.083,0.917,0.0,-0.5859
64,0.1,0.9,0.0,-0.2732
65,0.0,1.0,0.0,0.0
66,0.0,1.0,0.0,0.0
67,0.07,0.865,0.065,-0.1027
68,0.161,0.811,0.028,-0.8402
69,0.0,1.0,0.0,0.0
70,0.044,0.886,0.07,0.1027
71,0.0,0.728,0.272,0.8777
72,0.0,1.0,0.0,0.0
73,0.0,0.663,0.337,0.2584
74,0.434,0.566,0.0,-0.7845
75,0.0,1.0,0.0,0.0
76,0.0,1.0,0.0,0.0
77,0.0,1.0,0.0,0.0
78,0.0,0.747,0.253,0.2584
79,0.0,0.513,0.487,0.2263
80,0.0,1.0,0.0,0.0
81,0.0,1.0,0.0,0.0
82,0.0,1.0,0.0,0.0
83,0.0,1.0,0.0,0.0
84,0.164,0.703,0.133,-0.1126
85,0.0,0.784,0.216,0.0258
