,neg,neu,pos,compound,word_count
0,0.07,0.901,0.028,-0.8651,178
1,0.0,1.0,0.0,0.0,3
2,0.0,1.0,0.0,0.0,3
3,0.048,0.952,0.0,-0.296,46
4,0.0,0.886,0.114,0.4753,31
5,0.0,0.417,0.583,0.6369,4
6,0.0,0.839,0.161,0.6369,30
7,0.0,1.0,0.0,0.0,9
8,0.0,1.0,0.0,0.0,9
9,0.0,0.805,0.195,0.4404,13
10,0.0,1.0,0.0,0.0,12
11,0.0,0.631,0.369,0.8537,19
12,0.0,0.89,0.11,0.4767,26
13,0.0,1.0,0.0,0.0,40
14,0.066,0.856,0.078,0.128,40
15,0.0,1.0,0.0,0.0,19
16,0.121,0.879,0.0,-0.5106,26
17,0.071,0.733,0.196,0.6249,35
18,0.048,0.736,0.216,0.8316,40
19,0.102,0.725,0.173,0.3091,29
20,0.245,0.608,0.147,-0.81,43
21,0.203,0.72,0.077,-0.6908,32
22,0.0,0.759,0.241,0.6908,21
23,0.0,0.906,0.094,0.4939,32
24,0.0,0.85,0.15,0.3182,15
25,0.0,0.758,0.242,0.4939,16
26,0.216,0.784,0.0,-0.4648,16
27,0.436,0.564,0.0,-0.8825,14
28,0.0,0.882,0.118,0.7034,40
29,0.0,1.0,0.0,0.0,9
30,0.103,0.619,0.278,0.6408,18
31,0.0,1.0,0.0,0.0,19
32,0.0,1.0,0.0,0.0,5
33,0.0,0.884,0.116,0.4871,25
34,0.0,1.0,0.0,0.0,3
35,0.0,1.0,0.0,0.0,21
36,0.141,0.859,0.0,-0.2023,13
37,0.0,1.0,0.0,0.0,11
38,0.0,1.0,0.0,0.0,46
39,0.0,1.0,0.0,0.0,23
40,0.0,1.0,0.0,0.0,5
41,0.0,1.0,0.0,0.0,21
42,0.0,0.741,0.259,0.6369,13
43,0.0,1.0,0.0,0.0,6
44,0.0,1.0,0.0,0.0,4
45,0.0,1.0,0.0,0.0,6
46,0.0,1.0,0.0,0.0,24
47,0.0,1.0,0.0,0.0,10
48,0.0,1.0,0.0,0.0,13
49,0.0,1.0,0.0,0.0,15
50,0.231,0.769,0.0,-0.34,9
51,0.17,0.567,0.262,0.3182,10
52,0.0,1.0,0.0,0.0,27
53,0.0,0.918,0.082,0.0422,17
54,0.0,1.0,0.0,0.0,5
55,0.0,1.0,0.0,0.0,9
56,0.0,0.508,0.492,0.4404,4
57,0.0,0.476,0.524,0.5106,4
58,0.267,0.534,0.198,-0.2263,11
59,0.0,1.0,0.0,0.0,7
60,0.087,0.913,0.0,-0.3182,25
61,0.0,1.0,0.0,0.0,7
62,0.0,1.0,0.0,0.0,8
63,0.0,1.0,0.0,0.0,8
64,0.149,0.851,0.0,-0.1027,9
65,0.0,1.0,0.0,0.0,6
66,0.0,1.0,0.0,0.0,5
67,0.0,1.0,0.0,0.0,8
68,0.0,1.0,0.0,0.0,8
69,0.0,1.0,0.0,0.0,7
70,0.0,1.0,0.0,0.0,14
71,0.16,0.84,0.0,-0.2732,12
72,0.0,1.0,0.0,0.0,6
73,0.0,0.839,0.161,0.3612,14
74,0.268,0.732,0.0,-0.296,7
75,0.0,1.0,0.0,0.0,4
76,0.0,0.61,0.39,0.4939,6
77,0.0,1.0,0.0,0.0,7
78,0.0,1.0,0.0,0.0,13
79,0.0,0.8,0.2,0.128,8
80,0.0,1.0,0.0,0.0,7
81,0.0,1.0,0.0,0.0,10
82,0.0,0.612,0.388,0.2263,5
83,0.0,1.0,0.0,0.0,8
84,0.0,0.853,0.147,0.2263,13
85,0.0,1.0,0.0,0.0,7
86,0.0,1.0,0.0,0.0,5
87,0.0,1.0,0.0,0.0,8
88,0.0,1.0,0.0,0.0,10
89,0.0,1.0,0.0,0.0,15
90,0.0,0.619,0.381,0.5719,8
91,0.0,1.0,0.0,0.0,18
92,0.0,0.787,0.213,0.2263,8
93,0.202,0.591,0.207,0.2716,14
94,0.0,1.0,0.0,0.0,9
95,0.0,1.0,0.0,0.0,11
96,0.0,1.0,0.0,0.0,10
97,0.0,1.0,0.0,0.0,18
98,0.0,1.0,0.0,0.0,12
99,0.0,1.0,0.0,0.0,17
100,0.186,0.814,0.0,-0.1531,8
101,0.167,0.833,0.0,-0.1531,9
102,0.275,0.725,0.0,-0.2263,8
103,0.0,1.0,0.0,0.0,8
104,0.0,1.0,0.0,0.0,3
105,0.0,1.0,0.0,0.0,16
106,0.0,1.0,0.0,0.0,6
107,0.0,1.0,0.0,0.0,28
108,0.142,0.755,0.102,-0.228,22
109,0.0,0.392,0.608,0.4767,3
110,0.2,0.8,0.0,-0.6956,20
111,0.0,1.0,0.0,0.0,8
112,0.0,1.0,0.0,0.0,7
113,0.0,1.0,0.0,0.0,18
114,0.0,0.902,0.098,0.0772,15
115,0.0,0.92,0.08,0.0772,18
116,0.0,0.906,0.094,0.4588,30
117,0.0,0.805,0.195,0.4404,14
118,0.0,1.0,0.0,0.0,12
119,0.0,1.0,0.0,0.0,10
120,0.0,1.0,0.0,0.0,6
121,0.179,0.575,0.246,0.2617,11
122,0.0,0.833,0.167,0.4939,17
123,0.0,0.791,0.209,0.4404,13
124,0.118,0.749,0.134,0.0772,17
125,0.0,1.0,0.0,0.0,4
126,0.0,1.0,0.0,0.0,14
127,0.0,1.0,0.0,0.0,7
128,0.0,0.857,0.143,0.4588,28
129,0.0,1.0,0.0,0.0,9
130,0.0,1.0,0.0,0.0,5
131,0.0,1.0,0.0,0.0,8
132,0.066,0.822,0.112,0.4005,32
133,0.0,1.0,0.0,0.0,4
134,0.608,0.392,0.0,-0.4767,3
135,0.0,1.0,0.0,0.0,6
136,0.0,0.588,0.412,0.5994,9
137,0.0,1.0,0.0,0.0,4
138,0.0,1.0,0.0,0.0,3
139,0.0,1.0,0.0,0.0,12
140,0.268,0.732,0.0,-0.296,7
141,0.0,1.0,0.0,0.0,7
142,0.0,1.0,0.0,0.0,12
143,0.0,1.0,0.0,0.0,9
144,0.0,1.0,0.0,0.0,11
145,0.0,0.0,1.0,0.5574,1
146,0.0,1.0,0.0,0.0,4
147,0.389,0.611,0.0,-0.7901,14
148,0.102,0.792,0.106,0.0258,29
149,0.306,0.694,0.0,-0.296,6
150,0.0,1.0,0.0,0.0,5
151,0.0,1.0,0.0,0.0,5
152,0.0,0.488,0.512,0.4847,4
153,0.494,0.506,0.0,-0.5994,5
154,0.236,0.764,0.0,-0.4184,10
155,0.375,0.625,0.0,-0.2023,4
156,0.065,0.935,0.0,-0.25,33
157,0.0,1.0,0.0,0.0,5
158,0.0,1.0,0.0,0.0,6
159,0.0,0.737,0.263,0.3612,9
160,0.0,1.0,0.0,0.0,5
161,0.0,0.8,0.2,0.3612,12
162,0.0,1.0,0.0,0.0,6
163,0.0,1.0,0.0,0.0,2
164,0.0,1.0,0.0,0.0,8
165,0.0,1.0,0.0,0.0,4
166,0.0,1.0,0.0,0.0,12
167,0.0,1.0,0.0,0.0,5
168,0.42,0.58,0.0,-0.4404,5
169,0.0,1.0,0.0,0.0,16
170,0.149,0.851,0.0,-0.2732,14
171,0.0,1.0,0.0,0.0,9
172,0.0,1.0,0.0,0.0,7
173,0.111,0.889,0.0,-0.25,17
174,0.0,1.0,0.0,0.0,9
175,0.237,0.697,0.066,-0.7096,24
176,0.0,0.706,0.294,0.6124,14
177,0.0,1.0,0.0,0.0,5
178,0.174,0.826,0.0,-0.2263,10
179,0.0,1.0,0.0,0.0,13
180,0.0,0.565,0.435,0.6597,9
181,0.0,1.0,0.0,0.0,11
182,0.0,0.709,0.291,0.6249,12
183,0.0,1.0,0.0,0.0,9
184,0.0,1.0,0.0,0.0,13
185,0.0,1.0,0.0,0.0,12
186,0.125,0.875,0.0,-0.25,15
187,0.0,1.0,0.0,0.0,4
188,0.0,0.785,0.215,0.6249,16
189,0.0,1.0,0.0,0.0,4
190,0.0,1.0,0.0,0.0,15
191,0.0,1.0,0.0,0.0,4
192,0.0,0.738,0.262,0.4939,10
193,0.0,0.944,0.056,0.3612,44
194,0.0,1.0,0.0,0.0,10
195,0.0,1.0,0.0,0.0,11
196,0.0,1.0,0.0,0.0,9
197,0.119,0.881,0.0,-0.5764,39
198,0.0,1.0,0.0,0.0,10
199,0.0,0.549,0.451,0.6249,7
200,0.0,1.0,0.0,0.0,11
201,0.231,0.769,0.0,-0.2023,7
202,0.0,1.0,0.0,0.0,19
203,0.0,1.0,0.0,0.0,5
204,0.0,1.0,0.0,0.0,4
205,0.0,1.0,0.0,0.0,17
206,0.0,1.0,0.0,0.0,27
207,0.0,1.0,0.0,0.0,10
208,0.0,1.0,0.0,0.0,10
209,0.0,1.0,0.0,0.0,22
210,0.0,1.0,0.0,0.0,15
211,0.0,1.0,0.0,0.0,5
212,0.0,1.0,0.0,0.0,9
213,0.0,1.0,0.0,0.0,3
214,0.0,1.0,0.0,0.0,3
215,0.0,0.541,0.459,0.5267,5
216,0.262,0.738,0.0,-0.5994,15
217,0.0,1.0,0.0,0.0,2
218,0.0,1.0,0.0,0.0,13
219,0.0,1.0,0.0,0.0,19
220,0.0,1.0,0.0,0.0,6
221,0.0,1.0,0.0,0.0,5
222,0.0,1.0,0.0,0.0,16
223,0.0,1.0,0.0,0.0,4
224,0.0,0.677,0.323,0.3359,6
225,0.0,0.775,0.225,0.4939,12
226,0.0,0.536,0.464,0.3818,4
227,0.0,1.0,0.0,0.0,6
228,0.0,1.0,0.0,0.0,12
229,0.0,1.0,0.0,0.0,4
230,0.13,0.87,0.0,-0.2732,15
231,0.0,0.5,0.5,0.4588,4
232,0.0,0.786,0.214,0.4588,12
233,0.0,1.0,0.0,0.0,6
234,0.0,0.833,0.167,0.4588,17
235,0.0,1.0,0.0,0.0,13
236,0.0,1.0,0.0,0.0,25
237,0.0,0.618,0.382,0.7783,13
238,0.0,0.815,0.185,0.3612,12
239,0.0,0.949,0.051,0.34,46
240,0.0,0.5,0.5,0.7184,9
241,0.0,1.0,0.0,0.0,8
242,0.0,1.0,0.0,0.0,6
243,0.0,1.0,0.0,0.0,5
244,0.0,0.331,0.669,0.8442,6
245,0.0,0.513,0.487,0.5859,6
246,0.0,1.0,0.0,0.0,4
247,0.0,0.857,0.143,0.4588,21
248,0.0,1.0,0.0,0.0,8
249,0.0,0.881,0.119,0.4019,21
250,0.0,1.0,0.0,0.0,9
251,0.0,1.0,0.0,0.0,7
252,0.239,0.435,0.326,0.2023,6
253,0.0,0.6,0.4,0.5165,6
254,0.0,0.558,0.442,0.8591,17
255,0.0,0.617,0.383,0.4767,6
256,0.0,1.0,0.0,0.0,6
257,0.0,1.0,0.0,0.0,9
258,0.0,1.0,0.0,0.0,19
259,0.0,1.0,0.0,0.0,6
260,0.187,0.813,0.0,-0.3182,11
261,0.221,0.779,0.0,-0.6249,21
262,0.0,1.0,0.0,0.0,4
263,0.467,0.533,0.0,-0.5423,5
264,0.0,1.0,0.0,0.0,5
265,0.437,0.563,0.0,-0.3252,4
266,0.0,1.0,0.0,0.0,5
267,0.0,1.0,0.0,0.0,6
268,0.0,1.0,0.0,0.0,13
269,0.152,0.848,0.0,-0.8271,46
270,0.0,1.0,0.0,0.0,5
271,0.0,1.0,0.0,0.0,4
272,0.0,1.0,0.0,0.0,13
273,0.0,1.0,0.0,0.0,5
274,0.0,1.0,0.0,0.0,5
