,neg,neu,pos,compound,word_count
0,0.066,0.855,0.079,0.0516,91
1,0.0,0.904,0.096,0.5106,34
2,0.0,0.926,0.074,0.25,26
3,0.054,0.946,0.0,-0.1531,31
4,0.0,1.0,0.0,0.0,6
5,0.0,1.0,0.0,0.0,13
6,0.0,0.943,0.057,0.128,26
7,0.0,1.0,0.0,0.0,7
8,0.0,0.922,0.078,0.1531,25
9,0.0,0.868,0.132,0.4939,22
10,0.0,1.0,0.0,0.0,13
11,0.0,0.651,0.349,0.7096,13
12,0.025,0.937,0.038,0.2023,129
13,0.055,0.856,0.089,0.25,27
14,0.136,0.864,0.0,-0.296,15
15,0.0,1.0,0.0,0.0,28
16,0.0,1.0,0.0,0.0,5
17,0.0,1.0,0.0,0.0,14
18,0.0,1.0,0.0,0.0,8
19,0.0,0.93,0.07,0.2023,26
20,0.0,1.0,0.0,0.0,8
21,0.0,1.0,0.0,0.0,19
22,0.0,0.764,0.236,0.34,14
23,0.0,1.0,0.0,0.0,19
24,0.0,1.0,0.0,0.0,17
25,0.0,1.0,0.0,0.0,6
26,0.0,0.887,0.113,0.4696,25
27,0.098,0.747,0.155,0.25,16
28,0.06,0.738,0.202,0.6369,33
29,0.0,1.0,0.0,0.0,13
30,0.0,0.899,0.101,0.0303,12
31,0.0,1.0,0.0,0.0,8
32,0.0,1.0,0.0,0.0,5
33,0.0,1.0,0.0,0.0,4
34,0.351,0.649,0.0,-0.6597,14
35,0.0,1.0,0.0,0.0,5
36,0.0,1.0,0.0,0.0,11
37,0.0,0.918,0.082,0.6124,65
38,0.0,1.0,0.0,0.0,18
39,0.0,1.0,0.0,0.0,11
40,0.0,1.0,0.0,0.0,7
41,0.0,1.0,0.0,0.0,8
42,0.0,1.0,0.0,0.0,19
43,0.036,0.964,0.0,-0.1531,45
44,0.098,0.902,0.0,-0.5984,48
45,0.0,1.0,0.0,0.0,11
46,0.0,1.0,0.0,0.0,16
47,0.0,1.0,0.0,0.0,5
48,0.259,0.741,0.0,-0.1027,6
49,0.064,0.936,0.0,-0.0572,20
50,0.0,1.0,0.0,0.0,7
51,0.0,1.0,0.0,0.0,10
52,0.073,0.78,0.146,0.3612,18
53,0.0,1.0,0.0,0.0,15
54,0.0,1.0,0.0,0.0,13
55,0.0,1.0,0.0,0.0,12
56,0.06,0.94,0.0,-0.0572,20
57,0.127,0.873,0.0,-0.3252,17
58,0.0,1.0,0.0,0.0,13
59,0.0,0.957,0.043,0.0762,31
60,0.0,0.783,0.217,0.2596,13
61,0.136,0.864,0.0,-0.296,15
62,0.133,0.825,0.042,-0.7255,50
63,0.0,0.868,0.132,0.4404,21
64,0.081,0.651,0.267,0.6908,24
65,0.0,0.778,0.222,0.7184,23
66,0.0,0.788,0.212,0.2235,8
67,0.0,1.0,0.0,0.0,5
68,0.0,0.638,0.362,0.7783,15
69,0.134,0.793,0.072,-0.4215,25
70,0.0,0.78,0.22,0.4767,12
71,0.0,0.865,0.135,0.4215,19
72,0.42,0.5,0.08,-0.8476,21
73,0.0,1.0,0.0,0.0,23
74,0.0,1.0,0.0,0.0,73
75,0.0,1.0,0.0,0.0,24
76,0.0,1.0,0.0,0.0,7
77,0.094,0.906,0.0,-0.4767,33
78,0.0,1.0,0.0,0.0,4
79,0.0,1.0,0.0,0.0,21
80,0.0,1.0,0.0,0.0,5
81,0.0,1.0,0.0,0.0,22
82,0.0,1.0,0.0,0.0,9
83,0.0,1.0,0.0,0.0,7
84,0.208,0.792,0.0,-0.4871,13
85,0.225,0.775,0.0,-0.4404,11
86,0.0,0.818,0.182,0.25,10
87,0.237,0.611,0.153,-0.2732,10
88,0.226,0.511,0.262,-0.1301,10
89,0.0,0.875,0.125,0.25,15
90,0.134,0.866,0.0,-0.4767,21
91,0.0,1.0,0.0,0.0,7
92,0.0,1.0,0.0,0.0,3
93,0.0,1.0,0.0,0.0,5
94,0.0,1.0,0.0,0.0,5
95,0.0,1.0,0.0,0.0,6
96,0.0,1.0,0.0,0.0,16
97,0.0,1.0,0.0,0.0,6
98,0.0,1.0,0.0,0.0,4
99,0.0,1.0,0.0,0.0,6
100,0.0,1.0,0.0,0.0,10
101,0.0,1.0,0.0,0.0,4
102,0.0,1.0,0.0,0.0,5
103,0.0,0.869,0.131,0.3744,18
104,0.508,0.492,0.0,-0.4767,4
105,0.256,0.744,0.0,-0.4767,10
106,0.15,0.85,0.0,-0.3566,15
107,0.0,1.0,0.0,0.0,20
108,0.0,1.0,0.0,0.0,16
109,0.0,0.706,0.294,0.3612,7
110,0.256,0.744,0.0,-0.4767,10
111,0.0,1.0,0.0,0.0,7
112,0.0,1.0,0.0,0.0,12
113,0.124,0.876,0.0,-0.4767,25
114,0.0,1.0,0.0,0.0,7
115,0.329,0.671,0.0,-0.5994,12
116,1.0,0.0,0.0,-0.296,1
117,0.205,0.795,0.0,-0.4767,14
118,0.0,1.0,0.0,0.0,5
119,0.0,1.0,0.0,0.0,12
120,0.0,1.0,0.0,0.0,8
121,0.0,1.0,0.0,0.0,12
122,0.0,1.0,0.0,0.0,6
123,0.0,1.0,0.0,0.0,7
124,0.0,1.0,0.0,0.0,8
125,0.114,0.886,0.0,-0.4767,28
126,0.0,1.0,0.0,0.0,8
127,0.13,0.803,0.067,-0.3313,34
128,0.0,1.0,0.0,0.0,6
129,0.0,1.0,0.0,0.0,11
130,0.26,0.74,0.0,-0.4973,16
131,0.109,0.891,0.0,-0.0572,11
132,0.0,1.0,0.0,0.0,18
133,0.0,1.0,0.0,0.0,15
134,0.0,1.0,0.0,0.0,7
135,0.088,0.912,0.0,-0.2755,24
136,0.0,1.0,0.0,0.0,8
137,0.2,0.8,0.0,-0.4588,14
138,0.046,0.877,0.077,0.1263,46
139,0.0,0.59,0.41,0.6326,8
140,0.0,0.606,0.394,0.5994,7
141,0.0,1.0,0.0,0.0,7
142,0.179,0.571,0.25,0.25,11
143,0.22,0.78,0.0,-0.4767,14
144,0.298,0.702,0.0,-0.5267,10
145,0.0,0.638,0.362,0.5267,8
146,0.0,0.648,0.352,0.5859,8
147,0.0,1.0,0.0,0.0,4
148,0.0,1.0,0.0,0.0,7
149,0.0,1.0,0.0,0.0,2
150,0.343,0.657,0.0,-0.5707,11
151,0.0,1.0,0.0,0.0,3
152,0.0,1.0,0.0,0.0,4
153,0.0,0.815,0.185,0.3612,12
154,0.0,1.0,0.0,0.0,3
155,0.0,1.0,0.0,0.0,20
156,0.078,0.78,0.142,0.2023,25
157,0.0,0.69,0.31,0.4019,9
158,0.0,1.0,0.0,0.0,14
159,0.0,1.0,0.0,0.0,9
160,0.0,1.0,0.0,0.0,8
161,0.0,1.0,0.0,0.0,6
162,0.0,1.0,0.0,0.0,9
163,0.088,0.777,0.135,0.2263,36
164,0.0,1.0,0.0,0.0,3
165,0.0,1.0,0.0,0.0,3
166,0.157,0.726,0.117,-0.25,24
167,0.0,0.925,0.075,0.0772,23
168,0.0,1.0,0.0,0.0,2
169,0.0,1.0,0.0,0.0,7
170,0.0,0.865,0.135,0.3612,17
171,0.0,1.0,0.0,0.0,5
172,0.0,0.323,0.677,0.2732,2
173,0.0,0.766,0.234,0.6697,21
174,0.0,0.745,0.255,0.3384,8
175,0.0,1.0,0.0,0.0,2
176,0.0,1.0,0.0,0.0,4
177,0.0,1.0,0.0,0.0,8
178,0.0,1.0,0.0,0.0,5
179,0.157,0.843,0.0,-0.0772,8
180,0.0,1.0,0.0,0.0,12
181,0.0,0.818,0.182,0.4404,14
182,0.196,0.804,0.0,-0.296,10
183,0.0,1.0,0.0,0.0,7
184,0.103,0.517,0.38,0.6461,11
185,0.126,0.874,0.0,-0.5122,33
186,0.0,1.0,0.0,0.0,10
187,0.0,1.0,0.0,0.0,5
188,0.123,0.877,0.0,-0.2732,17
189,0.161,0.683,0.155,-0.0258,13
190,0.0,1.0,0.0,0.0,11
191,0.0,1.0,0.0,0.0,12
192,0.0,1.0,0.0,0.0,3
193,0.0,1.0,0.0,0.0,5
194,0.697,0.303,0.0,-0.3182,3
195,0.0,1.0,0.0,0.0,15
196,0.0,1.0,0.0,0.0,6
197,0.0,1.0,0.0,0.0,5
198,0.0,1.0,0.0,0.0,3
199,0.0,1.0,0.0,0.0,4
200,0.0,1.0,0.0,0.0,3
201,0.0,0.942,0.058,0.2411,36
202,0.0,1.0,0.0,0.0,7
203,0.0,0.364,0.636,0.3612,5
204,0.181,0.569,0.25,0.1548,9
205,0.0,1.0,0.0,0.0,6
206,0.0,1.0,0.0,0.0,8
207,0.021,0.979,0.0,-0.0772,62
208,0.049,0.951,0.0,-0.2023,36
209,0.068,0.932,0.0,-0.6249,74
210,0.0,1.0,0.0,0.0,6
211,0.0,1.0,0.0,0.0,5
212,0.0,1.0,0.0,0.0,5
213,0.0,0.855,0.145,0.6256,32
214,0.478,0.522,0.0,-0.7506,9
215,0.358,0.642,0.0,-0.4201,6
216,0.0,0.906,0.094,0.3818,27
217,0.0,0.806,0.194,0.7717,37
218,0.034,0.895,0.072,0.4019,43
219,0.0,1.0,0.0,0.0,5
220,0.0,1.0,0.0,0.0,19
221,0.0,1.0,0.0,0.0,37
222,0.0,1.0,0.0,0.0,4
223,0.0,0.8,0.2,0.3612,11
224,0.0,1.0,0.0,0.0,12
225,0.0,0.759,0.241,0.5423,12
226,0.0,1.0,0.0,0.0,5
227,0.0,1.0,0.0,0.0,10
228,0.0,1.0,0.0,0.0,15
229,0.0,1.0,0.0,0.0,20
230,0.0,1.0,0.0,0.0,18
231,0.18,0.756,0.063,-0.5859,35
232,0.0,0.741,0.259,0.5423,11
233,0.0,0.865,0.135,0.6808,41
234,0.0,0.629,0.371,0.796,14
235,0.223,0.777,0.0,-0.5559,18
236,0.0,1.0,0.0,0.0,13
237,0.047,0.894,0.06,0.1531,46
238,0.0,1.0,0.0,0.0,7
239,0.0,1.0,0.0,0.0,6
240,0.0,1.0,0.0,0.0,20
241,0.0,1.0,0.0,0.0,16
242,0.0,0.763,0.237,0.4767,11
243,0.0,1.0,0.0,0.0,13
244,0.219,0.781,0.0,-0.4215,11
245,0.0,0.753,0.247,0.5574,12
246,0.0,0.939,0.061,0.2204,30
247,0.0,1.0,0.0,0.0,12
248,0.0,1.0,0.0,0.0,1
249,0.0,0.638,0.362,0.1779,5
250,0.115,0.885,0.0,-0.296,18
251,0.0,0.746,0.254,0.1779,6
252,0.0,1.0,0.0,0.0,16
253,0.0,1.0,0.0,0.0,10
254,0.0,1.0,0.0,0.0,1
255,0.0,0.734,0.266,0.4404,10
256,0.0,1.0,0.0,0.0,8
257,0.032,0.714,0.254,0.875,34
258,0.0,0.833,0.167,0.4215,16
259,0.0,0.887,0.113,0.1027,12
260,0.0,1.0,0.0,0.0,23
261,0.167,0.833,0.0,-0.296,12
262,0.0,1.0,0.0,0.0,16
263,0.0,1.0,0.0,0.0,5
264,0.0,1.0,0.0,0.0,29
265,0.0,1.0,0.0,0.0,9
266,0.0,1.0,0.0,0.0,10
267,0.0,1.0,0.0,0.0,4
268,0.0,0.86,0.14,0.3818,18
269,0.0,1.0,0.0,0.0,5
270,0.071,0.657,0.273,0.6124,16
271,0.132,0.868,0.0,-0.4404,21
272,0.0,0.615,0.385,0.3612,5
273,0.0,0.839,0.161,0.3612,15
274,0.0,0.0,1.0,0.4019,1
275,0.0,1.0,0.0,0.0,4
276,0.0,0.649,0.351,0.4019,7
277,0.0,1.0,0.0,0.0,1
278,0.0,1.0,0.0,0.0,1
279,0.0,0.843,0.157,0.5574,35
280,0.0,0.714,0.286,0.25,6
281,0.0,1.0,0.0,0.0,12
282,0.0,1.0,0.0,0.0,9
283,0.0,1.0,0.0,0.0,7
284,0.0,0.861,0.139,0.4404,19
285,0.0,1.0,0.0,0.0,8
286,0.178,0.822,0.0,-0.3818,14
287,0.0,1.0,0.0,0.0,16
288,0.231,0.769,0.0,-0.4588,11
289,0.0,1.0,0.0,0.0,31
290,0.0,1.0,0.0,0.0,1
291,0.0,1.0,0.0,0.0,1
292,0.0,0.0,0.0,0.0,0
293,0.0,0.0,0.0,0.0,0
294,0.0,1.0,0.0,0.0,4
295,0.069,0.931,0.0,-0.1027,22
296,0.0,0.899,0.101,0.4215,26
297,0.0,1.0,0.0,0.0,16
298,0.0,0.803,0.197,0.4019,12
299,0.189,0.811,0.0,-0.5041,15
300,0.0,0.785,0.215,0.6249,16
301,0.0,1.0,0.0,0.0,5
302,0.185,0.716,0.099,-0.4404,28
303,0.362,0.638,0.0,-0.6249,11
304,0.0,1.0,0.0,0.0,54
305,0.027,0.873,0.1,0.6124,51
306,0.0,0.916,0.084,0.3182,27
307,0.0,1.0,0.0,0.0,22
308,0.0,1.0,0.0,0.0,8
309,0.109,0.891,0.0,-0.296,20
310,0.0,1.0,0.0,0.0,18
311,0.0,1.0,0.0,0.0,6
312,0.318,0.413,0.269,-0.1531,9
