,neg,neu,pos,compound,word_count
0,0.0,1.0,0.0,0.0,21
1,0.0,0.882,0.118,0.1531,14
2,0.0,1.0,0.0,0.0,39
3,0.104,0.896,0.0,-0.296,21
4,0.0,1.0,0.0,0.0,44
5,0.121,0.734,0.145,-0.1154,21
6,0.0,1.0,0.0,0.0,57
7,0.489,0.511,0.0,-0.8225,12
8,0.0,0.884,0.116,0.5267,28
9,0.0,0.816,0.184,0.6597,28
10,0.026,0.82,0.154,0.7115,42
11,0.13,0.87,0.0,-0.5106,23
12,0.108,0.892,0.0,-0.4404,25
13,0.15,0.535,0.316,0.4767,13
14,0.088,0.912,0.0,-0.3818,29
15,0.0,1.0,0.0,0.0,15
16,0.0,1.0,0.0,0.0,33
17,0.243,0.757,0.0,-0.6696,15
18,0.09,0.846,0.064,-0.25,35
19,0.0,0.801,0.199,0.3041,12
20,0.0,0.858,0.142,0.7783,44
21,0.0,0.909,0.091,0.3182,25
22,0.0,1.0,0.0,0.0,33
23,0.0,1.0,0.0,0.0,25
24,0.0,1.0,0.0,0.0,36
25,0.0,0.781,0.219,0.7227,19
26,0.0,1.0,0.0,0.0,17
27,0.0,0.828,0.172,0.6369,27
28,0.0,1.0,0.0,0.0,13
29,0.0,1.0,0.0,0.0,15
30,0.117,0.791,0.092,-0.2023,28
31,0.0,0.758,0.242,0.8519,28
32,0.036,0.902,0.062,0.4019,63
33,0.0,1.0,0.0,0.0,38
34,0.076,0.833,0.091,0.1531,36
35,0.167,0.833,0.0,-0.1531,9
36,0.0,1.0,0.0,0.0,12
37,0.251,0.67,0.079,-0.6285,24
38,0.096,0.904,0.0,-0.5859,47
39,0.057,0.907,0.036,-0.2263,42
40,0.0,0.783,0.217,0.8176,30
41,0.0,0.84,0.16,0.6369,23
42,0.0,1.0,0.0,0.0,27
43,0.0,1.0,0.0,0.0,28
44,0.145,0.855,0.0,-0.296,14
45,0.0,1.0,0.0,0.0,26
46,0.0,0.809,0.191,0.3818,12
47,0.0,1.0,0.0,0.0,7
48,0.0,1.0,0.0,0.0,16
49,0.026,0.925,0.048,0.25,46
50,0.0,1.0,0.0,0.0,15
51,0.0,0.872,0.128,0.296,17
52,0.0,0.877,0.123,0.4215,22
53,0.0,0.685,0.315,0.8674,22
54,0.0,0.678,0.322,0.8225,20
55,0.077,0.679,0.244,0.5719,19
56,0.0,1.0,0.0,0.0,5
57,0.168,0.832,0.0,-0.6652,28
58,0.0,0.81,0.19,0.8271,45
59,0.0,1.0,0.0,0.0,14
60,0.0,0.634,0.366,0.8689,21
61,0.115,0.885,0.0,-0.0772,13
62,0.0,0.734,0.266,0.4404,10
63,0.0,0.756,0.244,0.4404,10
64,0.0,0.859,0.141,0.2023,12
65,0.105,0.75,0.145,0.204,17
66,0.0,0.859,0.141,0.2023,13
67,0.0,0.649,0.351,0.4019,6
68,0.0,1.0,0.0,0.0,3
69,0.0,0.743,0.257,0.4782,10
70,0.112,0.761,0.128,0.1779,39
71,0.0,1.0,0.0,0.0,7
72,0.0,1.0,0.0,0.0,25
73,0.0,1.0,0.0,0.0,15
74,0.152,0.848,0.0,-0.3612,15
75,0.0,1.0,0.0,0.0,16
76,0.0,1.0,0.0,0.0,18
77,0.016,0.917,0.066,0.6418,82
78,0.062,0.938,0.0,-0.0516,19
79,0.0,0.858,0.142,0.7783,36
80,0.0,1.0,0.0,0.0,12
81,0.0,1.0,0.0,0.0,17
82,0.0,0.755,0.245,0.6369,19
83,0.0,1.0,0.0,0.0,14
84,0.0,0.932,0.068,0.0258,16
85,0.134,0.793,0.073,-0.25,29
86,0.0,0.843,0.157,0.4215,16
87,0.162,0.581,0.257,0.5806,21
88,0.0,0.663,0.337,0.9042,25
89,0.0,0.794,0.206,0.5994,16
90,0.0,0.769,0.231,0.4588,12
91,0.0,0.763,0.237,0.4215,11
92,0.0,0.685,0.315,0.8515,20
93,0.0,1.0,0.0,0.0,19
94,0.106,0.894,0.0,-0.3612,24
95,0.0,0.793,0.207,0.5267,14
96,0.0,1.0,0.0,0.0,18
97,0.051,0.949,0.0,-0.1531,32
98,0.315,0.593,0.092,-0.631,14
99,0.0,1.0,0.0,0.0,23
100,0.096,0.772,0.133,0.0516,28
101,0.129,0.718,0.153,0.3612,18
102,0.0,0.765,0.235,0.6115,14
103,0.0,1.0,0.0,0.0,1
104,0.0,0.874,0.126,0.0772,12
105,0.0,1.0,0.0,0.0,25
106,0.0,1.0,0.0,0.0,10
107,0.0,1.0,0.0,0.0,3
108,0.0,0.86,0.14,0.0772,12
109,0.0,1.0,0.0,0.0,16
110,0.0,1.0,0.0,0.0,3
111,0.328,0.672,0.0,-0.6597,11
112,0.0,1.0,0.0,0.0,6
113,0.0,0.935,0.065,0.4404,48
114,0.0,1.0,0.0,0.0,8
115,0.0,1.0,0.0,0.0,30
116,0.0,1.0,0.0,0.0,5
117,0.0,1.0,0.0,0.0,17
118,0.0,1.0,0.0,0.0,5
119,0.0,1.0,0.0,0.0,7
120,0.0,1.0,0.0,0.0,4
121,0.0,1.0,0.0,0.0,4
122,0.0,0.238,0.762,0.4939,2
123,0.0,1.0,0.0,0.0,10
124,0.0,0.909,0.091,0.0772,14
125,0.0,0.755,0.245,0.0772,6
126,0.0,1.0,0.0,0.0,15
127,0.0,0.813,0.187,0.5574,24
128,0.0,1.0,0.0,0.0,17
129,0.0,1.0,0.0,0.0,3
130,0.0,0.8,0.2,0.3612,11
131,0.0,1.0,0.0,0.0,7
132,0.075,0.925,0.0,-0.3939,36
133,0.0,0.674,0.326,0.4404,7
134,0.0,1.0,0.0,0.0,7
135,0.368,0.632,0.0,-0.5423,8
136,0.0,1.0,0.0,0.0,12
137,0.0,0.68,0.32,0.5106,8
138,0.0,0.707,0.293,0.4404,9
139,0.126,0.632,0.241,0.25,15
140,0.0,0.745,0.255,0.34,9
141,0.0,1.0,0.0,0.0,9
142,0.0,0.791,0.209,0.4404,14
143,0.0,0.615,0.385,0.3612,7
144,0.0,0.552,0.448,0.5023,6
145,0.0,0.423,0.577,0.4767,5
146,0.0,0.536,0.464,0.6369,9
147,0.0,1.0,0.0,0.0,5
148,0.0,1.0,0.0,0.0,29
149,0.0,1.0,0.0,0.0,8
150,0.0,0.773,0.227,0.4767,18
151,0.291,0.709,0.0,-0.5439,14
152,0.0,1.0,0.0,0.0,9
153,0.0,0.417,0.583,0.4215,3
154,0.0,1.0,0.0,0.0,3
155,0.0,0.895,0.105,0.4019,26
156,0.151,0.67,0.179,0.128,14
157,0.0,0.526,0.474,0.4019,4
158,0.0,0.633,0.367,0.4404,6
159,0.0,0.806,0.194,0.5141,25
160,0.121,0.799,0.08,-0.3612,35
161,0.104,0.896,0.0,-0.296,23
162,0.0,0.912,0.088,0.5514,44
163,0.0,0.936,0.064,0.0772,22
164,0.0,0.86,0.14,0.0772,9
165,0.0,1.0,0.0,0.0,7
166,0.043,0.957,0.0,-0.2023,45
167,0.0,1.0,0.0,0.0,16
168,0.0,1.0,0.0,0.0,14
169,0.128,0.872,0.0,-0.296,16
170,0.0,1.0,0.0,0.0,12
171,0.243,0.757,0.0,-0.5927,17
172,0.0,1.0,0.0,0.0,10
173,0.0,1.0,0.0,0.0,5
174,0.0,0.256,0.744,0.4404,3
175,0.0,0.94,0.06,0.4019,46
176,0.0,1.0,0.0,0.0,44
177,0.0,0.833,0.167,0.2023,10
178,0.0,1.0,0.0,0.0,32
179,0.193,0.665,0.142,-0.4019,26
180,0.0,1.0,0.0,0.0,5
181,0.0,1.0,0.0,0.0,11
182,0.034,0.907,0.059,0.2732,44
183,0.18,0.82,0.0,-0.5106,17
184,0.0,0.814,0.186,0.1531,8
185,0.0,1.0,0.0,0.0,11
186,0.23,0.576,0.194,-0.128,10
187,0.0,0.853,0.147,0.6124,32
188,0.0,1.0,0.0,0.0,10
189,0.342,0.658,0.0,-0.3818,7
190,0.0,1.0,0.0,0.0,2
191,0.0,1.0,0.0,0.0,21
192,0.0,1.0,0.0,0.0,9
193,0.091,0.909,0.0,-0.296,24
194,0.0,1.0,0.0,0.0,9
195,0.0,0.887,0.113,0.4939,27
196,0.0,1.0,0.0,0.0,6
197,0.0,1.0,0.0,0.0,13
198,0.0,1.0,0.0,0.0,17
199,0.492,0.508,0.0,-0.4404,5
200,0.0,1.0,0.0,0.0,6
201,0.0,1.0,0.0,0.0,16
202,0.0,1.0,0.0,0.0,6
203,0.688,0.312,0.0,-0.296,2
204,0.167,0.781,0.053,-0.6597,45
205,0.13,0.87,0.0,-0.128,12
206,0.0,1.0,0.0,0.0,6
207,0.0,0.568,0.432,0.886,25
208,0.0,0.58,0.42,0.4404,7
209,0.0,1.0,0.0,0.0,5
210,0.0,1.0,0.0,0.0,4
211,0.301,0.639,0.059,-0.6486,19
212,0.0,1.0,0.0,0.0,3
213,0.172,0.828,0.0,-0.4404,19
214,0.0,0.256,0.744,0.4404,2
215,0.0,0.357,0.643,0.2023,2
216,0.121,0.741,0.137,0.2263,50
217,0.0,1.0,0.0,0.0,7
218,0.125,0.857,0.018,-0.8348,70
219,0.0,0.795,0.205,0.5984,23
220,0.083,0.917,0.0,-0.2023,25
221,0.0,0.833,0.167,0.7351,31
222,0.0,0.794,0.206,0.0772,7
223,0.0,1.0,0.0,0.0,4
224,0.0,0.939,0.061,0.128,25
225,0.051,0.802,0.146,0.8218,74
226,0.0,0.875,0.125,0.8201,57
227,0.0,0.767,0.233,0.8185,32
228,0.0,0.779,0.221,0.6249,20
229,0.147,0.853,0.0,-0.4767,19
230,0.681,0.319,0.0,-0.7501,5
231,0.0,1.0,0.0,0.0,29
232,0.0,0.551,0.449,0.6908,9
233,0.0,0.952,0.048,0.3182,51
234,0.307,0.693,0.0,-0.4767,8
235,0.13,0.777,0.093,-0.1779,18
