,neg,neu,pos,compound
0,0.0,1.0,0.0,0.0
1,0.0,1.0,0.0,0.0
2,0.0,1.0,0.0,0.0
3,0.0,1.0,0.0,0.0
4,0.0,1.0,0.0,0.0
5,0.0,0.674,0.326,0.4404
6,0.0,0.916,0.084,0.3182
7,0.263,0.737,0.0,-0.7233
8,0.0,1.0,0.0,0.0
9,0.0,0.565,0.435,0.6597
10,0.022,0.811,0.167,0.9451
11,0.0,1.0,0.0,0.0
12,0.161,0.839,0.0,-0.2755
13,0.085,0.915,0.0,-0.4019
14,0.058,0.879,0.063,0.0772
15,0.0,1.0,0.0,0.0
16,0.0,0.848,0.152,0.3612
17,0.0,0.33,0.67,0.7269
18,0.0,0.863,0.137,0.6249
19,0.0,1.0,0.0,0.0
20,0.0,1.0,0.0,0.0
21,0.0,1.0,0.0,0.0
22,0.0,1.0,0.0,0.0
23,0.0,0.792,0.208,0.2732
24,0.065,0.935,0.0,-0.3612
25,0.0,1.0,0.0,0.0
26,0.0,1.0,0.0,0.0
27,0.0,0.913,0.087,0.5267
28,0.208,0.66,0.132,-0.2023
29,0.032,0.874,0.095,0.5574
30,0.0,0.934,0.066,0.5106
31,0.116,0.804,0.08,-0.2023
32,0.0,0.754,0.246,0.902
33,0.0,1.0,0.0,0.0
34,0.0,0.707,0.293,0.4404
35,0.0,1.0,0.0,0.0
36,0.0,1.0,0.0,0.0
37,0.167,0.833,0.0,-0.3412
38,0.0,0.808,0.192,0.7845
39,0.085,0.862,0.054,-0.2484
40,0.054,0.946,0.0,-0.2263
41,0.0,1.0,0.0,0.0
42,0.138,0.667,0.195,0.2547
43,0.0,0.764,0.236,0.8104
44,0.055,0.811,0.134,0.5034
45,0.0,1.0,0.0,0.0
46,0.0,0.884,0.116,0.3612
47,0.0,1.0,0.0,0.0
48,0.146,0.648,0.206,0.2547
49,0.259,0.741,0.0,-0.2716
50,0.0,1.0,0.0,0.0
51,0.0,1.0,0.0,0.0
52,0.0,0.8,0.2,0.5423
53,0.0,1.0,0.0,0.0
54,0.0,1.0,0.0,0.0
55,0.0,0.724,0.276,0.6542
56,0.0,1.0,0.0,0.0
57,0.0,1.0,0.0,0.0
58,0.0,1.0,0.0,0.0
59,0.074,0.704,0.222,0.6369
60,0.0,1.0,0.0,0.0
61,0.0,0.845,0.155,0.0258
62,0.0,1.0,0.0,0.0
63,0.246,0.678,0.076,-0.6124
64,0.252,0.748,0.0,-0.5719
65,0.459,0.541,0.0,-0.5267
66,0.0,0.597,0.403,0.4019
67,0.0,0.803,0.197,0.4019
68,0.231,0.769,0.0,-0.5719
69,0.0,1.0,0.0,0.0
70,0.0,1.0,0.0,0.0
71,0.224,0.776,0.0,-0.1531
72,0.0,1.0,0.0,0.0
73,0.0,1.0,0.0,0.0
74,0.0,1.0,0.0,0.0
75,0.0,1.0,0.0,0.0
76,0.147,0.853,0.0,-0.2263
77,0.038,0.962,0.0,-0.34
78,0.0,1.0,0.0,0.0
79,0.0,1.0,0.0,0.0
80,0.0,1.0,0.0,0.0
81,0.0,1.0,0.0,0.0
82,0.0,0.86,0.14,0.3818
83,0.0,1.0,0.0,0.0
84,0.0,0.71,0.29,0.5423
85,0.238,0.762,0.0,-0.3612
86,0.0,1.0,0.0,0.0
87,0.0,1.0,0.0,0.0
88,0.31,0.69,0.0,-0.2023
89,0.0,1.0,0.0,0.0
90,0.216,0.664,0.12,-0.5574
91,0.0,1.0,0.0,0.0
92,0.0,1.0,0.0,0.0
93,0.21,0.79,0.0,-0.1513
94,0.0,1.0,0.0,0.0
95,0.1,0.9,0.0,-0.3736
96,0.0,1.0,0.0,0.0
97,0.481,0.411,0.108,-0.8051
98,0.0,0.641,0.359,0.4215
99,0.0,1.0,0.0,0.0
100,0.0,1.0,0.0,0.0
101,0.0,1.0,0.0,0.0
102,0.0,1.0,0.0,0.0
103,0.0,0.653,0.347,0.4927
104,0.124,0.777,0.099,-0.1779
105,0.0,1.0,0.0,0.0
106,0.0,1.0,0.0,0.0
107,0.0,1.0,0.0,0.0
108,0.133,0.642,0.225,0.2144
109,0.237,0.36,0.403,0.3182
110,0.0,1.0,0.0,0.0
111,0.28,0.72,0.0,-0.5423
112,0.0,1.0,0.0,0.0
113,0.0,0.816,0.184,0.7845
114,0.245,0.755,0.0,-0.0772
115,0.0,1.0,0.0,0.0
116,0.161,0.667,0.172,0.0772
117,0.0,1.0,0.0,0.0
118,0.326,0.674,0.0,-0.4404
119,0.198,0.723,0.079,-0.4215
120,0.208,0.679,0.113,-0.4767
121,0.0,0.821,0.179,0.5423
122,0.147,0.603,0.25,0.34
123,0.0,1.0,0.0,0.0
124,0.0,1.0,0.0,0.0
125,0.437,0.563,0.0,-0.4767
126,0.0,0.745,0.255,0.34
127,0.0,0.649,0.351,0.5963
128,0.0,1.0,0.0,0.0
129,0.275,0.725,0.0,-0.2263
130,0.0,1.0,0.0,0.0
131,0.28,0.72,0.0,-0.5423
132,0.0,1.0,0.0,0.0
133,0.0,0.612,0.388,0.8221
134,0.145,0.513,0.341,0.6794
135,0.667,0.333,0.0,-0.9186
136,0.0,0.606,0.394,0.5994
137,0.0,0.672,0.328,0.5267
138,0.0,1.0,0.0,0.0
139,0.222,0.505,0.273,0.0
140,0.0,1.0,0.0,0.0
141,0.0,1.0,0.0,0.0
142,0.334,0.405,0.261,-0.2665
143,0.343,0.657,0.0,-0.6908
144,0.126,0.797,0.077,-0.2516
145,0.0,1.0,0.0,0.0
146,0.0,1.0,0.0,0.0
147,0.0,0.754,0.246,0.7346
148,0.0,1.0,0.0,0.0
149,0.0,1.0,0.0,0.0
150,0.0,0.649,0.351,0.4019
151,0.0,1.0,0.0,0.0
152,0.269,0.607,0.124,-0.7184
153,0.145,0.855,0.0,-0.5267
154,0.187,0.813,0.0,-0.5994
155,0.273,0.727,0.0,-0.128
156,0.471,0.529,0.0,-0.197
157,0.0,1.0,0.0,0.0
158,0.0,1.0,0.0,0.0
159,0.0,1.0,0.0,0.0
160,0.0,0.843,0.157,0.0772
161,0.0,0.513,0.487,0.5859
162,0.0,1.0,0.0,0.0
163,0.0,0.591,0.409,0.6313
164,0.0,1.0,0.0,0.0
165,0.0,1.0,0.0,0.0
166,0.0,1.0,0.0,0.0
167,0.0,0.345,0.655,0.5859
168,0.0,1.0,0.0,0.0
169,0.0,1.0,0.0,0.0
170,0.0,0.872,0.128,0.3612
171,0.0,0.61,0.39,0.4927
172,0.286,0.714,0.0,-0.34
173,0.0,0.846,0.154,0.3724
174,0.126,0.874,0.0,-0.6369
175,0.0,0.896,0.104,0.296
176,0.0,1.0,0.0,0.0
177,0.097,0.766,0.137,0.2003
178,0.0,0.791,0.209,0.4404
179,0.371,0.629,0.0,-0.7096
180,0.703,0.297,0.0,-0.8573
181,0.241,0.759,0.0,-0.5859
182,0.549,0.451,0.0,-0.8074
183,0.0,1.0,0.0,0.0
184,0.0,1.0,0.0,0.0
185,0.0,1.0,0.0,0.0
186,0.0,1.0,0.0,0.0
187,0.037,0.8,0.163,0.8074
188,0.0,1.0,0.0,0.0
189,0.072,0.796,0.132,0.5849
190,0.0,0.633,0.367,0.4404
191,0.0,1.0,0.0,0.0
192,0.0,1.0,0.0,0.0
193,0.164,0.571,0.264,0.4215
194,0.0,0.748,0.252,0.7964
195,0.185,0.761,0.054,-0.7194
196,0.0,1.0,0.0,0.0
197,0.245,0.755,0.0,-0.3818
198,0.069,0.931,0.0,-0.4767
199,0.0,1.0,0.0,0.0
200,0.246,0.754,0.0,-0.7351
201,0.496,0.504,0.0,-0.871
202,0.267,0.568,0.165,-0.5574
203,0.0,1.0,0.0,0.0
204,0.0,1.0,0.0,0.0
205,0.0,1.0,0.0,0.0
206,0.0,1.0,0.0,0.0
207,0.194,0.752,0.053,-0.7906
208,0.0,1.0,0.0,0.0
209,0.0,0.839,0.161,0.3612
210,0.0,1.0,0.0,0.0
211,0.223,0.777,0.0,-0.6808
212,0.265,0.735,0.0,-0.2023
213,0.0,0.508,0.492,0.4404
214,0.078,0.922,0.0,-0.296
215,0.0,1.0,0.0,0.0
216,0.545,0.455,0.0,-0.34
217,0.0,0.775,0.225,0.4404
218,0.286,0.714,0.0,-0.34
219,0.0,1.0,0.0,0.0
220,0.0,0.566,0.434,0.3182
221,0.0,1.0,0.0,0.0
222,0.0,1.0,0.0,0.0
223,0.13,0.87,0.0,-0.34
224,0.0,1.0,0.0,0.0
225,0.0,1.0,0.0,0.0
226,0.0,1.0,0.0,0.0
227,0.0,0.75,0.25,0.25
228,0.0,1.0,0.0,0.0
229,0.0,0.86,0.14,0.0772
230,0.0,1.0,0.0,0.0
231,0.0,1.0,0.0,0.0
232,0.0,1.0,0.0,0.0
233,0.0,1.0,0.0,0.0
234,0.0,1.0,0.0,0.0
235,0.0,1.0,0.0,0.0
236,0.154,0.769,0.077,-0.2732
237,0.0,1.0,0.0,0.0
238,0.0,1.0,0.0,0.0
239,0.271,0.729,0.0,-0.3818
240,0.0,1.0,0.0,0.0
241,0.224,0.776,0.0,-0.3818
242,0.0,1.0,0.0,0.0
243,0.391,0.451,0.158,-0.7351
244,0.0,1.0,0.0,0.0
245,0.57,0.43,0.0,-0.3919
246,0.239,0.761,0.0,-0.7845
247,0.0,0.786,0.214,0.504
248,0.414,0.586,0.0,-0.8807
249,0.0,1.0,0.0,0.0
250,0.113,0.887,0.0,-0.3167
251,0.171,0.795,0.034,-0.5423
252,0.0,1.0,0.0,0.0
253,0.0,1.0,0.0,0.0
254,0.474,0.526,0.0,-0.743
255,0.233,0.651,0.116,-0.3612
256,0.0,1.0,0.0,0.0
257,0.231,0.769,0.0,-0.34
258,0.0,1.0,0.0,0.0
259,0.0,1.0,0.0,0.0
260,0.239,0.761,0.0,-0.296
261,0.0,1.0,0.0,0.0
262,0.0,1.0,0.0,0.0
263,0.0,0.882,0.118,0.4215
264,0.258,0.412,0.33,0.1779
265,0.0,1.0,0.0,0.0
266,0.0,0.853,0.147,0.6908
267,0.084,0.916,0.0,-0.3182
268,0.0,1.0,0.0,0.0
269,0.0,1.0,0.0,0.0
270,0.058,0.942,0.0,-0.2732
271,0.0,1.0,0.0,0.0
272,0.487,0.513,0.0,-0.2263
273,0.0,1.0,0.0,0.0
274,0.0,1.0,0.0,0.0
275,0.0,1.0,0.0,0.0
276,0.0,1.0,0.0,0.0
277,0.0,0.758,0.242,0.5908
278,0.0,0.943,0.057,0.3182
279,0.0,1.0,0.0,0.0
280,0.0,1.0,0.0,0.0
281,0.0,0.844,0.156,0.4717
282,0.0,1.0,0.0,0.0
283,0.0,1.0,0.0,0.0
284,0.0,0.894,0.106,0.3612
285,0.084,0.76,0.156,0.4404
286,0.089,0.855,0.057,-0.5417
287,0.088,0.912,0.0,-0.4019
288,0.034,0.966,0.0,-0.296
289,0.0,1.0,0.0,0.0
