,neg,neu,pos,compound,word_count
0,0.0,1.0,0.0,0.0,7
1,0.0,1.0,0.0,0.0,17
2,0.235,0.765,0.0,-0.6486,15
3,0.0,1.0,0.0,0.0,40
4,0.0,0.856,0.144,0.8687,77
5,0.0,1.0,0.0,0.0,20
6,0.0,1.0,0.0,0.0,2
7,0.0,1.0,0.0,0.0,7
8,0.0,1.0,0.0,0.0,1
9,0.0,1.0,0.0,0.0,5
10,0.0,1.0,0.0,0.0,2
11,0.096,0.839,0.065,-0.3127,49
12,0.104,0.896,0.0,-0.296,20
13,0.0,0.752,0.248,0.507,16
14,0.0,0.62,0.38,0.5994,11
15,0.097,0.871,0.032,-0.5574,38
16,0.0,1.0,0.0,0.0,26
17,0.0,0.833,0.167,0.5267,19
18,0.045,0.87,0.086,0.2023,68
19,0.088,0.647,0.265,0.7809,29
20,0.0,1.0,0.0,0.0,27
21,0.051,0.724,0.224,0.8126,35
22,0.076,0.789,0.135,0.5574,57
23,0.129,0.732,0.139,0.0772,24
24,0.0,0.793,0.207,0.836,37
25,0.0,1.0,0.0,0.0,11
26,0.0,0.894,0.106,0.5141,30
27,0.0,1.0,0.0,0.0,8
28,0.0,1.0,0.0,0.0,3
29,0.0,1.0,0.0,0.0,1
30,0.0,1.0,0.0,0.0,5
31,0.0,1.0,0.0,0.0,4
32,0.0,1.0,0.0,0.0,1
33,0.0,1.0,0.0,0.0,1
34,0.0,1.0,0.0,0.0,7
35,0.0,1.0,0.0,0.0,6
36,0.0,1.0,0.0,0.0,9
37,0.0,0.417,0.583,0.6369,4
38,0.0,1.0,0.0,0.0,9
39,0.0,1.0,0.0,0.0,1
40,0.568,0.432,0.0,-0.3875,4
41,0.0,0.548,0.452,0.7654,12
42,0.0,1.0,0.0,0.0,3
43,0.0,0.0,0.0,0.0,0
44,0.0,1.0,0.0,0.0,1
45,0.0,1.0,0.0,0.0,7
46,0.0,1.0,0.0,0.0,6
47,0.0,1.0,0.0,0.0,2
48,0.396,0.604,0.0,-0.3875,6
49,0.0,0.872,0.128,0.3612,21
50,0.0,1.0,0.0,0.0,3
51,0.0,1.0,0.0,0.0,4
52,0.0,1.0,0.0,0.0,10
53,0.0,1.0,0.0,0.0,2
54,0.0,1.0,0.0,0.0,5
55,0.0,1.0,0.0,0.0,1
56,0.0,1.0,0.0,0.0,3
57,0.0,0.426,0.574,0.6597,8
58,0.0,1.0,0.0,0.0,8
59,0.0,1.0,0.0,0.0,7
60,0.0,1.0,0.0,0.0,8
61,0.0,1.0,0.0,0.0,5
62,0.444,0.556,0.0,-0.6124,7
63,0.412,0.588,0.0,-0.5423,7
64,0.0,1.0,0.0,0.0,15
65,0.0,1.0,0.0,0.0,23
66,0.0,1.0,0.0,0.0,11
67,0.0,1.0,0.0,0.0,7
68,0.0,0.769,0.231,0.34,13
69,0.0,0.725,0.275,0.5859,12
70,0.0,1.0,0.0,0.0,41
71,0.0,1.0,0.0,0.0,14
72,0.0,0.818,0.182,0.4404,14
73,0.071,0.929,0.0,-0.296,33
74,0.217,0.691,0.092,-0.4215,25
75,0.0,1.0,0.0,0.0,26
76,0.0,1.0,0.0,0.0,29
77,0.152,0.736,0.113,0.0644,37
78,0.104,0.896,0.0,-0.296,20
79,0.047,0.755,0.199,0.6837,20
80,0.0,1.0,0.0,0.0,38
81,0.0,1.0,0.0,0.0,56
82,0.0,0.932,0.068,0.3724,38
83,0.0,0.873,0.127,0.5423,26
84,0.0,1.0,0.0,0.0,5
85,0.0,1.0,0.0,0.0,18
86,0.0,1.0,0.0,0.0,3
87,0.0,1.0,0.0,0.0,4
88,0.0,1.0,0.0,0.0,8
89,0.0,0.843,0.157,0.0772,8
90,0.0,1.0,0.0,0.0,7
91,0.0,1.0,0.0,0.0,1
92,0.0,1.0,0.0,0.0,2
93,0.0,1.0,0.0,0.0,7
94,0.0,1.0,0.0,0.0,4
95,0.0,1.0,0.0,0.0,5
96,0.0,1.0,0.0,0.0,12
97,0.0,1.0,0.0,0.0,3
98,0.216,0.784,0.0,-0.296,10
99,0.0,0.948,0.052,0.5267,64
100,0.0,0.832,0.168,0.501,20
101,0.05,0.889,0.061,0.1901,63
102,0.062,0.852,0.085,0.2023,32
103,0.0,0.922,0.078,0.5106,43
104,0.0,1.0,0.0,0.0,37
105,0.146,0.803,0.05,-0.5187,32
106,0.0,0.788,0.212,0.4005,11
107,0.0,1.0,0.0,0.0,14
108,0.0,1.0,0.0,0.0,7
109,0.0,1.0,0.0,0.0,5
110,0.0,1.0,0.0,0.0,5
111,0.0,1.0,0.0,0.0,3
112,0.0,1.0,0.0,0.0,1
113,0.0,1.0,0.0,0.0,1
