,neg,neu,pos,compound,word_count
0,0.08,0.92,0.0,-0.25,27
1,0.0,1.0,0.0,0.0,11
2,0.097,0.775,0.127,0.1901,50
3,0.099,0.847,0.054,-0.296,45
4,0.146,0.732,0.122,-0.128,17
5,0.0,1.0,0.0,0.0,16
6,0.157,0.712,0.132,-0.1779,22
7,0.0,0.916,0.084,0.2732,25
8,0.0,0.67,0.33,0.4497,7
9,0.0,1.0,0.0,0.0,10
10,0.0,0.857,0.143,0.5423,22
11,0.0,1.0,0.0,0.0,18
12,0.0,1.0,0.0,0.0,6
13,0.0,1.0,0.0,0.0,5
14,0.0,0.769,0.231,0.5994,14
15,0.0,1.0,0.0,0.0,5
16,0.0,0.517,0.483,0.4215,6
17,0.0,1.0,0.0,0.0,3
18,0.0,1.0,0.0,0.0,21
19,0.0,1.0,0.0,0.0,6
20,0.0,0.887,0.113,0.0382,10
21,0.194,0.806,0.0,-0.0516,6
22,0.0,1.0,0.0,0.0,9
23,0.0,1.0,0.0,0.0,6
24,0.0,1.0,0.0,0.0,4
25,0.0,1.0,0.0,0.0,5
26,0.0,1.0,0.0,0.0,5
27,0.0,1.0,0.0,0.0,3
28,0.0,1.0,0.0,0.0,3
29,0.0,1.0,0.0,0.0,4
30,0.0,1.0,0.0,0.0,17
31,0.0,1.0,0.0,0.0,2
32,0.0,1.0,0.0,0.0,4
33,0.0,1.0,0.0,0.0,2
34,0.0,0.76,0.24,0.7186,21
35,0.237,0.763,0.0,-0.4767,11
36,0.0,0.893,0.107,0.5927,33
37,0.0,0.932,0.068,0.5859,53
38,0.17,0.83,0.0,-0.7783,48
39,0.0,0.829,0.171,0.8519,49
40,0.0,1.0,0.0,0.0,4
41,0.0,1.0,0.0,0.0,5
42,0.0,1.0,0.0,0.0,11
43,0.0,1.0,0.0,0.0,11
44,0.0,1.0,0.0,0.0,1
45,0.0,0.556,0.444,0.34,4
46,0.0,1.0,0.0,0.0,10
47,0.0,0.615,0.385,0.3612,5
48,0.0,0.815,0.185,0.3612,14
49,0.0,1.0,0.0,0.0,9
50,0.0,1.0,0.0,0.0,5
51,0.0,1.0,0.0,0.0,12
52,0.184,0.816,0.0,-0.6705,22
53,0.0,1.0,0.0,0.0,3
54,0.0,1.0,0.0,0.0,18
55,0.0,0.837,0.163,0.7184,41
56,0.0,1.0,0.0,0.0,13
57,0.0,1.0,0.0,0.0,9
58,0.0,0.585,0.415,0.7964,13
59,0.0,1.0,0.0,0.0,14
60,0.0,0.778,0.222,0.5719,17
61,0.0,1.0,0.0,0.0,5
62,0.0,1.0,0.0,0.0,9
63,0.0,1.0,0.0,0.0,6
64,0.0,1.0,0.0,0.0,8
65,0.0,0.685,0.315,0.3182,6
66,0.0,1.0,0.0,0.0,5
67,0.0,0.492,0.508,0.7351,8
68,0.0,1.0,0.0,0.0,10
69,0.0,1.0,0.0,0.0,4
70,0.0,0.656,0.344,0.2732,5
71,0.0,0.533,0.467,0.3875,5
72,0.0,1.0,0.0,0.0,5
73,0.0,1.0,0.0,0.0,4
74,0.0,0.667,0.333,0.3612,6
75,0.0,1.0,0.0,0.0,11
76,0.188,0.589,0.223,0.2617,22
77,0.0,0.791,0.209,0.4404,13
78,0.0,1.0,0.0,0.0,4
79,0.0,1.0,0.0,0.0,3
80,0.0,1.0,0.0,0.0,9
81,0.0,0.843,0.157,0.0772,9
82,0.0,1.0,0.0,0.0,13
83,0.0,0.805,0.195,0.4404,13
84,0.209,0.791,0.0,-0.2755,9
85,0.0,1.0,0.0,0.0,4
86,0.0,1.0,0.0,0.0,22
87,0.0,1.0,0.0,0.0,5
88,0.0,1.0,0.0,0.0,4
89,0.0,1.0,0.0,0.0,7
90,0.0,1.0,0.0,0.0,5
91,0.412,0.588,0.0,-0.5423,6
92,0.0,1.0,0.0,0.0,16
93,0.31,0.69,0.0,-0.2023,6
94,0.0,0.491,0.509,0.8519,11
95,0.0,1.0,0.0,0.0,3
96,0.0,1.0,0.0,0.0,5
97,0.0,1.0,0.0,0.0,9
98,0.0,1.0,0.0,0.0,12
99,0.0,1.0,0.0,0.0,8
100,0.0,1.0,0.0,0.0,31
101,0.0,1.0,0.0,0.0,29
102,0.238,0.662,0.1,-0.8413,59
103,0.0,1.0,0.0,0.0,19
104,0.0,1.0,0.0,0.0,25
105,0.0,1.0,0.0,0.0,13
106,0.106,0.894,0.0,-0.4404,39
107,0.0,1.0,0.0,0.0,33
108,0.0,1.0,0.0,0.0,6
