,neg,neu,pos,compound,word_count
0,0.0,0.698,0.302,0.5994,11
1,0.0,0.892,0.108,0.2935,22
2,0.27,0.649,0.082,-0.8555,36
3,0.059,0.693,0.248,0.7478,34
4,0.0,1.0,0.0,0.0,7
5,0.076,0.799,0.125,0.1027,26
6,0.0,0.606,0.394,0.5023,6
7,0.0,1.0,0.0,0.0,5
8,0.0,0.789,0.211,0.5777,15
9,0.066,0.478,0.457,0.9201,24
10,0.0,1.0,0.0,0.0,15
11,0.0,1.0,0.0,0.0,11
12,0.0,0.719,0.281,0.5994,11
13,0.053,0.912,0.035,-0.0772,73
14,0.0,1.0,0.0,0.0,6
15,0.0,1.0,0.0,0.0,9
16,0.0,0.88,0.12,0.5267,27
17,0.076,0.729,0.194,0.5256,26
18,0.095,0.905,0.0,-0.296,23
19,0.241,0.474,0.284,0.228,16
20,0.084,0.836,0.081,-0.0258,32
21,0.141,0.807,0.052,-0.6369,65
22,0.246,0.754,0.0,-0.8683,34
23,0.0,1.0,0.0,0.0,12
24,0.0,0.961,0.039,0.0258,31
25,0.0,1.0,0.0,0.0,12
26,0.0,1.0,0.0,0.0,34
27,0.0,0.728,0.272,0.4767,13
28,0.08,0.92,0.0,-0.0772,16
29,0.225,0.775,0.0,-0.4404,11
30,0.0,0.691,0.309,0.7003,16
31,0.097,0.725,0.178,0.3527,16
32,0.0,0.492,0.508,0.7351,8
33,0.06,0.9,0.04,-0.2516,50
34,0.0,1.0,0.0,0.0,14
35,0.0,0.871,0.129,0.4767,22
36,0.0,0.556,0.444,0.4939,5
37,0.0,0.484,0.516,0.4939,5
38,0.053,0.89,0.057,0.0516,44
39,0.0,1.0,0.0,0.0,18
40,0.0,1.0,0.0,0.0,17
41,0.0,0.78,0.22,0.7351,24
42,0.172,0.522,0.306,0.5208,26
43,0.0,0.696,0.304,0.5859,14
44,0.0,1.0,0.0,0.0,21
45,0.0,1.0,0.0,0.0,17
46,0.0,1.0,0.0,0.0,14
47,0.0,1.0,0.0,0.0,16
48,0.0,0.791,0.209,0.4404,13
49,0.0,1.0,0.0,0.0,18
50,0.0,1.0,0.0,0.0,14
51,0.0,1.0,0.0,0.0,6
52,0.058,0.942,0.0,-0.0772,24
53,0.0,1.0,0.0,0.0,5
54,0.0,1.0,0.0,0.0,21
55,0.0,1.0,0.0,0.0,7
56,0.0,1.0,0.0,0.0,10
57,0.0,0.435,0.565,0.3818,3
58,0.0,1.0,0.0,0.0,5
59,0.0,1.0,0.0,0.0,7
60,0.0,1.0,0.0,0.0,16
61,0.0,1.0,0.0,0.0,17
62,0.0,1.0,0.0,0.0,5
63,0.0,1.0,0.0,0.0,4
64,0.235,0.765,0.0,-0.6808,17
65,0.0,1.0,0.0,0.0,6
66,0.0,1.0,0.0,0.0,2
67,0.0,1.0,0.0,0.0,8
68,0.0,1.0,0.0,0.0,4
69,0.0,1.0,0.0,0.0,5
70,0.0,1.0,0.0,0.0,4
71,0.0,1.0,0.0,0.0,8
72,0.0,1.0,0.0,0.0,9
73,0.0,1.0,0.0,0.0,4
74,0.0,0.487,0.513,0.2755,4
75,0.0,0.763,0.237,0.7096,23
76,0.0,1.0,0.0,0.0,5
77,0.0,1.0,0.0,0.0,12
78,0.0,1.0,0.0,0.0,11
79,0.0,1.0,0.0,0.0,8
80,0.0,1.0,0.0,0.0,3
81,0.0,1.0,0.0,0.0,11
82,0.0,0.74,0.26,0.2755,7
83,0.0,0.686,0.314,0.4939,8
84,0.0,1.0,0.0,0.0,5
85,0.0,1.0,0.0,0.0,6
86,0.0,1.0,0.0,0.0,11
87,0.0,0.763,0.237,0.4215,12
88,0.0,0.7,0.3,0.743,22
89,0.136,0.793,0.072,-0.3612,36
90,0.12,0.737,0.143,0.1423,20
91,0.0,0.58,0.42,0.8271,15
92,0.0,0.859,0.141,0.4215,18
93,0.166,0.834,0.0,-0.2944,12
94,0.0,1.0,0.0,0.0,13
95,0.23,0.614,0.157,-0.2658,12
96,0.091,0.909,0.0,-0.5106,34
97,0.202,0.636,0.162,-0.2565,39
98,0.221,0.779,0.0,-0.5265,13
99,0.0,0.831,0.169,0.6705,29
100,0.177,0.823,0.0,-0.7003,31
101,0.0,1.0,0.0,0.0,5
102,0.0,1.0,0.0,0.0,7
103,0.0,0.79,0.21,0.3506,15
104,0.259,0.741,0.0,-0.6361,14
105,0.0,0.485,0.515,0.9523,24
106,0.0,0.938,0.062,0.4404,52
107,0.0,1.0,0.0,0.0,22
108,0.0,1.0,0.0,0.0,17
109,0.0,1.0,0.0,0.0,10
110,0.0,1.0,0.0,0.0,21
111,0.0,1.0,0.0,0.0,4
112,0.0,0.68,0.32,0.5106,8
113,0.0,0.762,0.238,0.3612,9
114,0.0,1.0,0.0,0.0,2
115,0.0,1.0,0.0,0.0,1
116,0.0,1.0,0.0,0.0,2
117,0.0,1.0,0.0,0.0,4
118,0.0,1.0,0.0,0.0,5
119,0.0,1.0,0.0,0.0,2
