,neg,neu,pos,compound,word_count
0,0.0,1.0,0.0,0.0,17
1,0.0,1.0,0.0,0.0,5
2,0.0,0.884,0.116,0.4871,25
3,0.0,1.0,0.0,0.0,3
4,0.0,1.0,0.0,0.0,21
5,0.141,0.859,0.0,-0.2023,13
6,0.0,1.0,0.0,0.0,11
7,0.0,1.0,0.0,0.0,46
8,0.0,1.0,0.0,0.0,23
9,0.0,1.0,0.0,0.0,5
10,0.0,1.0,0.0,0.0,21
11,0.0,0.741,0.259,0.6369,13
12,0.0,1.0,0.0,0.0,6
13,0.0,1.0,0.0,0.0,4
14,0.0,1.0,0.0,0.0,6
15,0.0,1.0,0.0,0.0,24
16,0.0,1.0,0.0,0.0,10
17,0.0,1.0,0.0,0.0,13
18,0.0,1.0,0.0,0.0,15
19,0.231,0.769,0.0,-0.34,9
20,0.17,0.567,0.262,0.3182,10
21,0.0,1.0,0.0,0.0,27
22,0.0,0.918,0.082,0.0422,17
23,0.0,1.0,0.0,0.0,5
24,0.0,1.0,0.0,0.0,9
25,0.0,0.508,0.492,0.4404,4
26,0.0,0.476,0.524,0.5106,4
27,0.267,0.534,0.198,-0.2263,11
28,0.0,1.0,0.0,0.0,7
29,0.087,0.913,0.0,-0.3182,25
30,0.0,1.0,0.0,0.0,7
31,0.0,1.0,0.0,0.0,8
32,0.0,1.0,0.0,0.0,8
33,0.149,0.851,0.0,-0.1027,9
34,0.0,1.0,0.0,0.0,6
35,0.0,1.0,0.0,0.0,5
36,0.0,1.0,0.0,0.0,8
37,0.0,1.0,0.0,0.0,8
38,0.0,1.0,0.0,0.0,7
39,0.0,1.0,0.0,0.0,14
40,0.16,0.84,0.0,-0.2732,12
41,0.0,1.0,0.0,0.0,6
42,0.0,0.839,0.161,0.3612,14
43,0.268,0.732,0.0,-0.296,7
44,0.0,1.0,0.0,0.0,4
45,0.0,0.61,0.39,0.4939,6
46,0.0,1.0,0.0,0.0,7
47,0.0,1.0,0.0,0.0,13
48,0.0,0.8,0.2,0.128,8
49,0.0,1.0,0.0,0.0,7
50,0.0,1.0,0.0,0.0,10
51,0.0,0.612,0.388,0.2263,5
52,0.0,1.0,0.0,0.0,8
53,0.0,0.853,0.147,0.2263,13
54,0.0,1.0,0.0,0.0,7
55,0.0,1.0,0.0,0.0,5
56,0.0,1.0,0.0,0.0,8
57,0.0,1.0,0.0,0.0,10
58,0.0,1.0,0.0,0.0,15
59,0.0,0.619,0.381,0.5719,8
60,0.0,1.0,0.0,0.0,18
61,0.0,0.787,0.213,0.2263,8
62,0.202,0.591,0.207,0.2716,14
63,0.0,1.0,0.0,0.0,9
64,0.0,1.0,0.0,0.0,11
65,0.0,1.0,0.0,0.0,10
66,0.0,1.0,0.0,0.0,18
67,0.0,1.0,0.0,0.0,12
68,0.0,1.0,0.0,0.0,17
69,0.186,0.814,0.0,-0.1531,8
70,0.167,0.833,0.0,-0.1531,9
71,0.275,0.725,0.0,-0.2263,8
72,0.0,1.0,0.0,0.0,8
73,0.0,1.0,0.0,0.0,3
74,0.0,1.0,0.0,0.0,16
75,0.0,1.0,0.0,0.0,6
76,0.0,1.0,0.0,0.0,28
77,0.142,0.755,0.102,-0.228,22
78,0.0,0.392,0.608,0.4767,3
79,0.2,0.8,0.0,-0.6956,20
80,0.0,1.0,0.0,0.0,8
81,0.0,1.0,0.0,0.0,7
