,neg,neu,pos,compound,word_count
0,0.0,1.0,0.0,0.0,2
1,0.0,1.0,0.0,0.0,40
2,0.0,0.946,0.054,0.2732,39
3,0.0,1.0,0.0,0.0,19
4,0.0,1.0,0.0,0.0,9
5,0.0,1.0,0.0,0.0,3
6,0.0,1.0,0.0,0.0,8
7,0.0,0.49,0.51,0.6369,9
8,0.0,1.0,0.0,0.0,19
9,0.0,1.0,0.0,0.0,5
10,0.193,0.807,0.0,-0.4767,15
11,0.0,0.718,0.282,0.6705,18
12,0.0,0.756,0.244,0.4404,10
13,0.0,1.0,0.0,0.0,9
14,0.0,0.778,0.222,0.6908,25
15,0.0,1.0,0.0,0.0,5
16,0.0,1.0,0.0,0.0,15
17,0.214,0.786,0.0,-0.7845,35
18,0.0,0.773,0.227,0.6249,16
19,0.0,1.0,0.0,0.0,10
20,0.0,0.652,0.348,0.4939,8
21,0.0,1.0,0.0,0.0,25
22,0.623,0.377,0.0,-0.5106,3
23,0.0,1.0,0.0,0.0,23
24,0.081,0.919,0.0,-0.128,21
25,0.0,1.0,0.0,0.0,3
26,0.148,0.852,0.0,-0.5106,22
27,0.0,1.0,0.0,0.0,7
28,0.0,1.0,0.0,0.0,3
29,0.0,1.0,0.0,0.0,11
30,0.0,1.0,0.0,0.0,5
31,0.0,1.0,0.0,0.0,4
32,0.0,1.0,0.0,0.0,8
33,0.243,0.541,0.216,-0.1027,10
34,0.0,1.0,0.0,0.0,12
35,0.0,0.783,0.217,0.3612,13
36,0.0,1.0,0.0,0.0,10
37,0.247,0.753,0.0,-0.5574,13
38,0.452,0.548,0.0,-0.5106,6
39,0.0,1.0,0.0,0.0,6
40,0.286,0.714,0.0,-0.5574,12
41,0.0,1.0,0.0,0.0,8
42,0.0,1.0,0.0,0.0,6
43,0.199,0.801,0.0,-0.2479,10
44,0.223,0.532,0.245,0.0516,10
45,0.121,0.747,0.132,0.0516,21
46,0.474,0.526,0.0,-0.4019,7
47,0.216,0.784,0.0,-0.5106,14
48,0.309,0.526,0.164,-0.4939,11
49,0.0,1.0,0.0,0.0,12
50,0.21,0.79,0.0,-0.1513,7
51,0.13,0.6,0.27,0.34,10
52,0.0,1.0,0.0,0.0,17
53,0.0,0.787,0.213,0.6597,23
54,0.0,1.0,0.0,0.0,17
55,0.0,0.92,0.08,0.1901,22
